Date,Year,Month,CPI,Unemployment (%),Fed Rate (%),Real GDP (Billions in USD),Inflation (% per Year),Home Sales (Billions in USD),Retail Sales (Billions in USD),Industry Production Lag_1,Unemployment Lag_1,YoY Unemployment,Month_Sin,Month_Cos
2014-05-01,2014.0,5.0,237.9,6.3,0.08499999999999999,18406.941,1.8923559999022888,451.0,183385.0,102.007,6.25,-0.0525780189959294,0.4999999999999999,-0.8660254037844387
2014-06-01,2014.0,6.0,238.343,6.099999999999999,0.09000000000000001,18406.941,1.6422922697603008,418.0,183609.0,102.44666666666666,6.166666666666667,-0.08495401778983867,1.2246467991473532e-16,-1.0
2014-07-01,2014.0,7.0,238.25,6.2,0.09000000000000001,18406.941,0.8282090455493787,402.0,183727.0,102.75,6.166666666666667,-0.0746268656716417,-0.4999999999999997,-0.8660254037844388
2014-08-01,2014.0,8.0,237.852,6.1,0.08,18500.031,0.494394032233345,456.0,185124.0,102.7465,6.15,-0.05284063553201735,-0.8660254037844385,-0.5000000000000004
2014-09-01,2014.0,9.0,238.03100000000003,5.900000000000001,0.08,18500.031,0.2880340234935154,470.0,184719.0,102.86000000000001,5.966666666666666,-0.05342208568015009,-1.0,-1.8369701987210294e-16
2014-10-01,2014.0,10.0,237.433,5.7,0.08,18500.031,-0.31996878634053977,476.0,185428.0,102.96833333333332,5.766666666666667,-0.0754618787405672,-0.8660254037844387,0.5000000000000001
2014-11-01,2014.0,11.0,236.151,5.8,0.09,18666.621,-0.8555711222841509,442.0,186228.0,103.47560000000001,5.779999999999999,-0.05838180856689582,-0.5000000000000004,0.8660254037844384
2014-12-01,2014.0,12.0,234.812,5.6,0.105,18666.621,-1.3337850751820015,497.0,185686.0,103.5945,5.6499999999999995,-0.058627396499027526,-2.4492935982947064e-16,1.0
2015-01-01,2015.0,1.0,233.707,5.7,0.105,18666.621,-1.4356963665467042,515.0,185900.0,102.9965,5.675,-0.004310344827586175,0.4999999999999999,0.8660254037844387
2015-02-01,2015.0,2.0,234.722,5.5,0.09666666666666666,18782.243,-0.6051212995075194,540.0,185154.0,102.36933333333333,5.566666666666666,-0.0517241379310344,0.8660254037844387,0.5000000000000001
2015-03-01,2015.0,3.0,236.119,5.400000000000001,0.09666666666666666,18782.243,0.3665601194755926,480.0,187363.0,101.92366666666668,5.433333333333334,-0.04679802955665006,1.0,6.123233995736766e-17
2015-04-01,2015.0,4.0,236.59900000000002,5.400000000000001,0.11,18782.243,0.9198385358101039,502.0,187586.0,101.42200000000001,5.400000000000001,-0.04135338345864643,0.8660254037844387,-0.4999999999999998
2015-05-01,2015.0,5.0,237.80499999999998,5.599999999999999,0.11,18857.418,1.7534776450855187,502.0,188268.0,100.91233333333334,5.533333333333334,-0.0175438596491228,0.49999999999999983,-0.8660254037844387
2015-06-01,2015.0,6.0,238.638,5.3,0.11750000000000001,18857.418,1.5179761926705566,480.0,187978.0,100.52825,5.375,-0.031902356902356876,1.2246467991473532e-16,-1.0
2015-07-01,2015.0,7.0,238.654,5.2,0.11666666666666668,18857.418,1.0052601895190822,506.0,189151.0,100.891,5.233333333333333,-0.037037037037037,-0.4999999999999997,-0.8660254037844388
2015-08-01,2015.0,8.0,238.316,5.1,0.12333333333333334,18892.206,0.5554276115270312,518.0,189126.0,100.95666666666666,5.133333333333333,-0.06679894179894184,-0.8660254037844385,-0.5000000000000004
2015-09-01,2015.0,9.0,237.94500000000002,5.0,0.11333333333333334,18892.206,-0.057551493112364294,456.0,188846.0,100.69866666666667,5.033333333333333,-0.09029649595687327,-1.0,-1.8369701987210294e-16
2015-10-01,2015.0,10.0,237.838,5.0,0.10666666666666667,18892.206,-0.3352357964783527,482.0,188106.0,100.30333333333333,5.0,-0.0566037735849056,-0.8660254037844387,0.5000000000000001
2015-11-01,2015.0,11.0,237.336,5.1,0.1,19001.69,-0.5170026397280998,504.0,188653.0,99.57425,5.074999999999999,-0.014423076923076976,-0.5000000000000004,0.8660254037844384
2015-12-01,2015.0,12.0,236.525,5.0,0.24285714285714285,19001.69,-0.6282127081427944,546.0,189661.0,98.932,5.014285714285714,-0.005602240896358515,-2.4492935982947064e-16,1.0
2016-01-01,2016.0,1.0,236.916,4.8,0.32,19001.69,-0.21910320833675018,505.0,188354.0,99.29860000000001,4.84,-0.05505882352941176,0.4999999999999999,0.8660254037844387
2016-02-01,2016.0,2.0,237.111,4.9,0.3466666666666667,19062.709,0.2477539372159324,517.0,190613.0,99.06633333333333,4.866666666666667,-0.0199999999999999,0.8660254037844387,0.5000000000000001
2016-03-01,2016.0,3.0,238.13199999999998,5.0,0.32666666666666666,19062.709,0.6794207800443924,532.0,189384.0,98.391,4.966666666666667,0.0,1.0,6.123233995736766e-17
2016-04-01,2016.0,4.0,239.261,5.1,0.33499999999999996,19062.709,1.073275525427578,576.0,189272.0,98.2875,5.05,0.04125,0.8660254037844387,-0.4999999999999998
2016-05-01,2016.0,5.0,240.236,4.8,0.32,19197.938,1.4013405595232034,571.0,189605.0,98.28533333333333,4.8999999999999995,0.0,0.49999999999999983,-0.8660254037844387
2016-06-01,2016.0,6.0,241.038,4.9,0.375,19197.938,1.5248465592479876,557.0,191085.0,98.59916666666668,4.883333333333334,-0.0031944444444443995,1.2246467991473532e-16,-1.0
2016-07-01,2016.0,7.0,240.64700000000002,4.8,0.36999999999999994,19197.938,0.7382347848817017,628.0,190743.0,98.78366666666666,4.833333333333333,-0.05254901960784313,-0.4999999999999997,-0.8660254037844388
2016-08-01,2016.0,8.0,240.853,4.9,0.35,19304.352,0.2568307830633288,575.0,190673.0,98.7835,4.85,0.0208333333333334,-0.8660254037844385,-0.5000000000000004
2016-09-01,2016.0,9.0,241.428,5.0,0.345,19304.352,0.32898948581459875,558.0,191454.0,98.6795,4.95,0.0310374149659864,-1.0,-1.8369701987210294e-16
2016-10-01,2016.0,10.0,241.729,4.9,0.3525,19304.352,0.2866767895518559,575.0,191366.0,98.692,4.925000000000001,0.0,-0.8660254037844386,0.5000000000000001
2016-11-01,2016.0,11.0,241.353,4.7,0.36,19398.343,0.2120302813826473,571.0,190969.0,98.50649999999999,4.800000000000001,-0.0308248299319727,-0.5000000000000004,0.8660254037844384
2016-12-01,2016.0,12.0,241.432,4.7,0.54,19398.343,0.2976011592465793,561.0,193121.0,98.70400000000001,4.7,-0.027494331065759534,-2.4492935982947064e-16,1.0
2017-01-01,2017.0,1.0,242.83900000000003,4.7,0.59,19398.343,0.6644826164492063,573.0,194317.0,98.79199999999999,4.7,-0.05360544217687067,0.49999999999999983,0.8660254037844387
2017-02-01,2017.0,2.0,243.603,4.6,0.615,19506.949,0.7752483152621303,587.0,194036.0,98.57650000000001,4.65,-0.0612244897959185,0.8660254037844386,0.5000000000000001
2017-03-01,2017.0,3.0,243.80100000000002,4.4,0.7966666666666667,19506.949,0.9095328101944306,632.0,193644.0,98.85466666666666,4.466666666666667,-0.08930380662903457,1.0,6.123233995736766e-17
2017-04-01,2017.0,4.0,244.524,4.4,0.8533333333333334,19506.949,1.2917423175241969,598.0,194165.0,99.72766666666666,4.4,-0.0638297872340425,0.8660254037844387,-0.4999999999999998
2017-05-01,2017.0,5.0,244.733,4.4,0.87,19660.766,1.0735996544553703,635.0,193344.0,100.09700000000001,4.4,-0.0638297872340425,0.4999999999999999,-0.8660254037844387
