Lag_Days,Window_Size,Year,Median_Raw_Correlation,Median_Standardized_Correlation,Median_Detrended_Correlation
-126,21,2022,0.15967737501822485,0.1596773750182341,0.20019151549574873
-126,21,2023,-0.12701574172668834,-0.127015741726695,-0.10705141668141574
-126,21,2024,-0.030463366963954314,-0.030463366963957884,-0.02764873245040901
-126,63,2013,,,
-126,63,2014,-0.04954747392223286,-0.049547473922232896,-0.04100398285267552
-126,63,2015,-0.010696419815183742,-0.010696419815183777,-0.01912861114214831
-126,63,2016,-0.064410195023785,-0.06441019502378877,-0.06886968577692136
-126,63,2017,0.05193741484260573,0.051937414842611884,0.0566358616077178
-126,63,2018,0.09930592266838036,0.09930592266838588,0.0854891799932577
-126,63,2019,0.06825215182511007,0.06825215182511452,0.08776933370044396
-126,63,2020,-0.02678867366419766,-0.02678867366419793,-0.0362991569000281
-126,63,2021,-0.03363385263736093,-0.03363385263736201,-0.028450334352672718
