Date,SP500%ChgD,SrcWgtAvgTone,SrcWgtGoldScore,AvgTone_30D_Corr,AvgTone_60D_Corr,AvgTone_90D_Corr,Goldstein_30D_Corr,Goldstein_60D_Corr,Goldstein_90D_Corr,-1AvgTone_30D_Corr,-1AvgTone_60D_Corr,-1AvgTone_90D_Corr,-1Goldstein_30D_Corr,-1Goldstein_60D_Corr,-1Goldstein_90D_Corr,+1AvgTone_30D_Corr,+1AvgTone_60D_Corr,+1AvgTone_90D_Corr,+1Goldstein_30D_Corr,+1Goldstein_60D_Corr,+1Goldstein_90D_Corr,-3AvgTone_30D_Corr,-3AvgTone_60D_Corr,-3AvgTone_90D_Corr,-3Goldstein_30D_Corr,-3Goldstein_60D_Corr,-3Goldstein_90D_Corr,+3AvgTone_30D_Corr,+3AvgTone_60D_Corr,+3AvgTone_90D_Corr,+3Goldstein_30D_Corr,+3Goldstein_60D_Corr,+3Goldstein_90D_Corr,-7AvgTone_30D_Corr,-7AvgTone_60D_Corr,-7AvgTone_90D_Corr,-7Goldstein_30D_Corr,-7Goldstein_60D_Corr,-7Goldstein_90D_Corr,+71AvgTone_30D_Corr,+71AvgTone_60D_Corr,+71AvgTone_90D_Corr,+71Goldstein_30D_Corr,+71Goldstein_60D_Corr,+71Goldstein_90D_Corr
22/3/2013,0.717425635,0.00,0.00,-0.20,-0.03,,-0.12,-0.08,,0.240461457,-0.057889936,,0.138362003,0.10731086,,0.091709209,0.038542721,,0.091709209,0.088567278,,0.284157331,0.291098062,,0.211103865,0.11854766,,-0.095384634,-0.056427554,,-0.095384634,-0.105787046,,0.026017132,-0.003916448,,0.026017132,-0.154062579,,0.026017132,-0.003916448,,-0.182801683,-0.154062579,
25/3/2013,-0.334003892,0.00,0.00,-0.19,-0.03,,-0.13,-0.08,,0.249614005,-0.058275161,,0.134000687,0.110195204,,0.127694816,0.039268434,,0.127694816,0.081681289,,0.330002511,0.305688837,,0.139744825,0.078135827,,-0.082864056,-0.055256688,,-0.082864056,-0.108443707,,0.027387754,-0.003791597,,0.027387754,-0.149453899,,0.027387754,-0.003791597,,-0.193355613,-0.149453899,
26/3/2013,0.77851108,-5.58,-9.50,-0.29,-0.10,,-0.23,-0.17,,0.249814574,-0.057348562,,0.137279353,0.106955313,,0.205772246,0.083340748,,0.205772246,0.130426311,,0.292355205,0.318897517,,0.252304464,0.140027201,,0.066075165,0.057244552,,0.066075165,0.082094913,,0.027284489,-0.003834762,,0.027284489,-0.150939635,,0.027284489,-0.003834762,,-0.192326577,-0.150939635,
27/3/2013,-0.058834991,0.00,0.00,-0.33,-0.10,,-0.32,-0.17,,0.378516998,-0.032281953,,0.169105857,0.102883176,,0.205045834,0.083774431,,0.205045834,0.128586862,,0.419753461,0.319675782,,0.275746896,0.138965418,,0.112342892,0.05922567,,0.112342892,0.079102895,,0.066196503,0.003747622,,0.066196503,-0.104921005,,0.066196503,0.003747622,,-0.170368586,-0.104921005,
28/3/2013,0.405666949,0.00,0.00,-0.34,-0.10,,-0.32,-0.17,,0.376628949,-0.032837459,,0.172841555,0.103483944,,0.319863189,0.084492557,,0.319863189,0.128346873,,0.4200187,0.320162039,,0.285170928,0.140346084,,0.120923435,0.057364264,,0.120923435,0.079890824,,0.112541448,0.019953308,,0.112541448,-0.065164319,,0.112541448,0.019953308,,-0.16391554,-0.065164319,
1/4/2013,-0.447358046,0.00,0.00,-0.42,-0.10,-0.10,-0.33,-0.17,-0.12,0.354027901,-0.033045204,,0.204719696,0.103509398,,0.317342279,0.084193129,,0.317342279,0.12900348,,0.512809916,0.345988329,,0.442621947,0.189762666,,0.119602864,0.057998343,,0.119602864,0.078441234,,0.237321067,0.077988655,,0.237321067,-0.107628292,,0.237321067,0.077988655,,-0.242322852,-0.107628292,
2/4/2013,0.517226411,0.00,0.00,-0.40,-0.10,-0.10,-0.33,-0.17,-0.12,0.369987582,-0.029447563,-0.069854672,0.19698962,0.100644169,0.142581828,0.289760474,0.08378251,0.120582652,0.289760474,0.128984695,0.073219499,0.527459938,0.349193111,,0.432929617,0.186808039,,0.207829782,0.058674384,,0.207829782,0.07811937,,0.448480494,0.121695342,,0.448480494,-0.003451553,,0.448480494,0.121695342,,-0.085364112,-0.003451553,
3/4/2013,-1.05461287,0.00,0.00,-0.41,-0.11,-0.10,-0.28,-0.16,-0.11,0.289352949,-0.038404025,-0.069185656,0.184168501,0.106511648,0.143192199,0.279927839,0.087259062,0.120875496,0.279927839,0.126093063,0.070487653,0.427540211,0.335059309,,0.391213742,0.191497356,,0.351429182,0.058318338,,0.351429182,0.078665832,,0.368337538,0.115884482,,0.368337538,0.017370157,,0.368337538,0.115884482,,-0.036767169,0.017370157,
4/4/2013,0.404845194,0.00,0.00,-0.42,-0.10,-0.10,-0.28,-0.17,-0.11,0.43371767,-0.032677246,-0.069394765,0.185220774,0.105401913,0.143760726,0.220241031,0.076706813,0.115959526,0.220241031,0.131612566,0.072205191,0.427285236,0.356945701,0.358606315,0.392892143,0.19406492,0.157249332,0.341941765,0.057952574,0.031651498,0.341941765,0.078734308,0.09794423,0.368346311,0.124172477,,0.368346311,0.001721418,,0.368346311,0.124172477,,-0.035206917,0.001721418,
5/4/2013,-0.429489561,1.62,-4.00,-0.48,-0.13,-0.09,-0.27,-0.13,-0.07,0.425208893,-0.040463612,-0.06937551,0.206633033,0.113070885,0.143914762,0.241414313,0.096559779,0.104217233,0.241414313,0.106450655,0.047645416,0.407262795,0.357148148,0.355360578,0.423983259,0.203551835,0.15860358,0.371125302,0.073916803,0.05321311,0.371125302,0.047053024,0.073540766,0.419741937,0.169589031,,0.419741937,0.096319233,,0.419741937,0.169589031,,0.137762838,0.096319233,
8/4/2013,0.630273795,-3.39,7.00,-0.52,-0.16,-0.12,-0.14,-0.06,-0.03,0.457616007,-0.018131863,-0.027154806,0.123749787,0.068749938,0.117344182,0.293946885,0.124417352,0.1314119,0.293946885,0.047686617,0.000313781,0.49084238,0.35643645,0.355993055,0.407236008,0.199442213,0.153915591,0.468800053,0.136599065,0.116387825,0.468800053,-0.068059583,-0.027912948,0.422396543,0.1706985,,0.422396543,0.093250822,,0.422396543,0.1706985,,0.129165801,0.093250822,
9/4/2013,0.354433215,0.00,0.00,-0.51,-0.16,-0.12,-0.14,-0.06,-0.04,0.38620012,-0.03338206,-0.039888895,0.161399172,0.089308207,0.128624042,0.296883799,0.126347404,0.122920014,0.296883799,0.044715254,0.041940407,0.491451194,0.359027921,0.355827464,0.403333146,0.197474595,0.153383488,0.469019528,0.150922128,0.127318337,0.469019528,-0.077728672,-0.070770535,0.424752892,0.173275086,,0.424752892,0.091274693,,0.424752892,0.173275086,,0.126877231,0.091274693,
10/4/2013,1.218913261,0.00,0.00,-0.45,-0.15,-0.11,-0.13,-0.06,-0.04,0.368863963,-0.028897313,-0.021403483,0.141393878,0.083786734,0.071601978,0.298882534,0.129275627,0.123041678,0.298882534,0.042386373,0.041625702,0.536083,0.383578329,0.353396486,0.220940576,0.109526341,0.077373839,0.45996403,0.145914025,0.126685038,0.45996403,-0.072845923,-0.070210914,0.40860572,0.170948497,0.116404739,0.40860572,0.08610514,0.068849285,0.40860572,0.170948497,0.116404739,0.109900352,0.08610514,0.068849285
11/4/2013,0.355225052,0.00,0.00,-0.45,-0.14,-0.11,-0.13,-0.06,-0.05,0.369096838,-0.026679245,-0.020504377,0.141002433,0.08196842,0.07043257,0.288903959,0.128729996,0.121892238,0.288903959,0.038316012,0.039433176,0.468887172,0.356381125,0.329136972,0.240231758,0.123086689,0.089201401,0.458173554,0.147635349,0.12881832,0.458173554,-0.074646936,-0.073084787,0.408973674,0.172749748,0.116580797,0.408973674,0.084547682,0.06773433,0.408973674,0.172749748,0.116580797,0.109544733,0.084547682,0.06773433
12/4/2013,-0.283676707,0.00,0.00,-0.47,-0.15,-0.11,-0.10,-0.06,-0.04,0.36741521,-0.028885597,-0.020913477,0.141044761,0.083450588,0.070825298,0.29813458,0.130830175,0.122681109,0.29813458,0.036531705,0.038288515,0.466981364,0.35239733,0.323827538,0.240051167,0.124378064,0.121559976,0.464297128,0.150565277,0.128935163,0.464297128,-0.076985383,-0.073305486,0.38800017,0.169901649,0.115993893,0.38800017,0.08573931,0.068398683,0.38800017,0.169901649,0.115993893,0.10965103,0.08573931,0.068398683
15/4/2013,-2.296629058,0.00,0.00,-0.38,-0.14,-0.10,-0.07,-0.05,-0.03,0.244446496,-0.035773735,-0.023838086,0.114434455,0.080915511,0.0696007,0.296691984,0.127892961,0.121874214,0.296691984,0.038224705,0.038770545,0.315046702,0.294718429,0.282745166,0.195506421,0.11639103,0.114719795,0.438960174,0.149361239,0.127676699,0.438960174,-0.077364033,-0.07337188,0.258238192,0.137839817,0.100198225,0.258238192,0.081615847,0.070411971,0.258238192,0.137839817,0.100198225,0.097231824,0.081615847,0.070411971
16/4/2013,1.430722329,-0.54,5.00,-0.37,-0.14,-0.11,0.05,0.03,0.04,0.240426733,-0.028434756,-0.020138316,0.105475285,0.0730433,0.063728601,0.229882512,0.122331205,0.12241759,0.229882512,-0.104724298,-0.091231578,0.307832029,0.289385739,0.277123154,0.17844985,0.107158623,0.107475833,0.433945427,0.144196107,0.126368559,0.433945427,-0.054738964,-0.057815024,0.322281851,0.173150424,0.139493223,0.322281851,-0.000994216,0.005669937,0.322281851,0.173150424,0.139493223,-0.034473516,-0.000994216,0.005669937
17/4/2013,-1.432768139,0.08,2.13,-0.37,-0.14,-0.11,0.01,0.00,0.01,0.231432645,-0.024259403,-0.012042809,-0.010515458,-0.009134761,-0.013453571,0.230475752,0.124758677,0.123309771,0.230475752,-0.07218979,-0.06308098,0.267875953,0.271530358,0.263596337,0.193039201,0.107066171,0.108941304,0.430685266,0.1407847,0.124978617,0.430685266,-0.06386768,-0.067389913,0.406806356,0.235484185,0.199211644,0.406806356,-0.121445969,-0.092490836,0.406806356,0.235484185,0.199211644,-0.178884337,-0.121445969,-0.092490836
18/4/2013,-0.670100344,0.00,0.00,-0.40,-0.26,-0.11,-0.02,0.01,0.01,0.227502105,-0.030456635,-0.014901052,-0.030455458,-0.019993362,-0.025828012,0.195141675,0.155605198,0.114822681,0.195141675,-0.062929009,-0.053626113,0.265348309,0.265562197,0.259583429,0.192471901,0.111742119,0.110705179,0.300246206,0.133297949,0.105634166,0.300246206,-0.04342368,-0.05052405,0.403547607,0.22952653,0.202503542,0.403547607,-0.116703418,-0.120590163,0.403547607,0.22952653,0.202503542,-0.177479815,-0.116703418,-0.120590163
19/4/2013,0.884790237,0.00,0.00,-0.38,-0.25,-0.12,-0.02,0.00,0.00,0.225923662,0.132982289,-0.013847726,-0.055284489,-0.030450313,-0.027208508,0.232339506,0.14508412,0.105112829,0.232339506,-0.056363311,-0.058676673,0.260329972,0.241641111,0.252170945,0.241763534,0.178667676,0.145770396,0.269556256,0.138802125,0.110503442,0.269556256,-0.04839318,-0.051996593,0.409214257,0.242784222,0.201740761,0.409214257,-0.126084743,-0.120726917,0.409214257,0.242784222,0.201740761,-0.179707495,-0.126084743,-0.120726917
22/4/2013,0.466162996,0.00,0.00,-0.34,-0.24,-0.12,-0.05,-0.01,0.00,0.195896108,0.142326727,-0.015740528,-0.08948172,-0.035913155,-0.030907807,0.241384625,0.163874616,0.105432072,0.241384625,-0.067482555,-0.059587212,0.260362382,0.248099704,0.252656477,0.257435723,0.183543719,0.152037549,0.252809334,0.122996141,0.101337741,0.252809334,-0.040142318,-0.043849536,0.409293476,0.249241575,0.20191246,0.409293476,-0.130758975,-0.12124861,0.409293476,0.249241575,0.20191246,-0.179788701,-0.130758975,-0.12124861
