Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
10/26/2014,1.910,-2.050
10/27/2014,1.616,-0.151
10/28/2014,1.983,-0.821
10/29/2014,1.253,-0.889
10/30/2014,1.260,-1.134
10/31/2014,0.157,-1.993
11/1/2014,1.408,-0.359
11/2/2014,1.067,-0.180
11/3/2014,1.804,-0.346
11/4/2014,1.339,-1.050
11/5/2014,0.318,-1.356
11/6/2014,0.443,-1.773
11/7/2014,0.805,0.405
11/8/2014,1.342,-0.671
11/9/2014,2.196,-0.750
11/10/2014,0.960,-1.420
11/11/2014,2.248,-0.459
11/12/2014,0.821,-1.298
11/13/2014,1.269,-1.400
11/14/2014,2.928,-1.503
11/15/2014,0.797,-0.489
11/16/2014,2.376,0.461
11/17/2014,0.732,0.042
11/18/2014,1.282,-1.024
11/19/2014,1.658,-1.891
11/20/2014,1.942,-1.071
11/21/2014,1.278,-1.238
11/22/2014,0.322,-2.290
11/23/2014,0.810,-1.113
11/24/2014,0.665,-1.748
11/25/2014,1.540,-0.868
11/26/2014,1.538,-0.899
11/27/2014,3.059,0.017
11/28/2014,0.095,-1.786
11/29/2014,3.292,-1.543
11/30/2014,1.915,-0.973
12/1/2014,0.803,-1.377
12/2/2014,-1.551,-0.943
12/3/2014,1.869,0.346
12/4/2014,-0.633,-1.016
12/5/2014,0.836,-1.296
12/6/2014,1.148,-0.807
12/7/2014,1.020,-1.355
12/8/2014,2.483,-0.106
12/9/2014,1.021,0.057
12/10/2014,0.783,0.048
12/11/2014,1.502,-0.708
12/12/2014,0.798,-1.051
12/13/2014,1.703,0.581
12/14/2014,1.890,-0.930
12/15/2014,2.477,0.404
12/16/2014,1.297,-0.492
12/17/2014,2.026,-2.050
12/18/2014,1.998,0.389
12/19/2014,2.630,-0.578
12/20/2014,0.546,-0.920
12/21/2014,1.279,-0.469
12/22/2014,1.975,-0.909
12/23/2014,1.134,-0.728
12/24/2014,0.396,-0.635
12/25/2014,1.689,-1.220
12/26/2014,1.036,-0.986
12/27/2014,0.029,-4.643
12/28/2014,-0.533,-2.954
12/29/2014,0.132,-1.156
12/30/2014,2.614,-0.013
12/31/2014,2.453,0.432
1/1/2015,-0.039,-2.060
1/2/2015,0.222,-1.918
1/3/2015,-2.708,0.314
1/4/2015,0.773,-0.636
1/5/2015,0.178,-1.816
1/6/2015,-0.208,-2.471
1/7/2015,-0.473,-1.844
1/8/2015,-0.673,-2.656
1/9/2015,-0.363,-1.829
1/10/2015,-0.634,-1.707
1/11/2015,-0.368,-1.969
1/12/2015,0.099,-1.422
1/13/2015,0.494,-0.671
1/14/2015,1.264,-0.338
1/15/2015,-0.355,-1.516
1/16/2015,1.016,0.641
1/17/2015,1.194,0.015
1/18/2015,1.234,-0.382
1/19/2015,1.636,-1.396
1/20/2015,-0.004,-2.253
1/21/2015,0.214,-1.711
1/22/2015,-0.731,-1.826
1/23/2015,0.199,-0.020
1/24/2015,2.169,0.076
1/25/2015,1.060,-1.335
1/26/2015,0.359,-2.348
1/27/2015,0.850,-0.957
1/28/2015,0.148,-0.917
1/29/2015,-0.286,-3.001
1/30/2015,0.521,-2.539
1/31/2015,-1.795,-3.227
2/1/2015,3.596,-1.981
2/2/2015,1.820,-0.463
2/3/2015,0.225,-1.099
2/4/2015,-1.564,-0.912
2/5/2015,1.826,-1.268
2/6/2015,0.960,0.243
2/7/2015,-1.433,-2.968
2/8/2015,0.916,-3.537
2/9/2015,-1.603,-3.502
2/10/2015,1.130,-0.943
2/11/2015,0.672,-0.913
2/12/2015,1.046,-0.971
2/13/2015,1.620,-1.330
2/14/2015,1.301,-1.514
2/15/2015,-0.516,-2.127
2/16/2015,1.143,-2.206
2/17/2015,-2.063,-2.024
2/18/2015,0.717,-2.147
2/19/2015,0.838,-1.471
2/20/2015,0.690,-1.607
2/21/2015,0.875,-1.548
2/22/2015,0.740,-1.369
2/23/2015,0.939,-1.104
2/24/2015,0.697,-1.661
2/25/2015,0.465,-1.868
2/26/2015,0.605,-1.597
2/27/2015,0.670,-1.629
2/28/2015,0.531,-1.619
3/1/2015,0.469,-1.909
3/2/2015,0.797,-1.308
3/3/2015,0.901,-1.478
3/4/2015,0.997,-1.320
3/5/2015,0.627,-1.767
3/6/2015,0.753,-1.266
3/7/2015,0.760,-1.577
3/8/2015,0.643,-1.184
3/9/2015,0.727,-1.096
3/10/2015,0.669,-1.114
3/11/2015,0.600,-1.479
3/12/2015,0.939,-1.205
3/13/2015,0.696,-1.494
3/14/2015,0.610,-1.522
3/15/2015,0.450,-1.691
3/16/2015,0.759,-1.350
3/17/2015,1.098,-0.896
3/18/2015,0.866,-1.319
3/19/2015,0.778,-1.298
3/20/2015,0.700,-1.310
3/21/2015,0.649,-1.663
3/22/2015,0.630,-1.700
3/23/2015,0.941,-1.058
3/24/2015,0.808,-1.374
3/25/2015,0.676,-1.595
3/26/2015,0.835,-1.477
3/27/2015,0.697,-1.351
3/28/2015,0.398,-1.651
3/29/2015,0.552,-1.217
3/30/2015,1.011,-1.314
3/31/2015,0.984,-1.215
4/1/2015,0.877,-1.199
4/2/2015,0.583,-1.370
4/3/2015,0.484,-1.143
4/4/2015,0.534,-1.708
4/5/2015,0.511,-1.389
4/6/2015,0.767,-1.144
4/7/2015,0.867,-1.059
4/8/2015,0.648,-1.317
4/9/2015,0.952,-1.036
4/10/2015,0.905,-0.976
4/11/2015,0.514,-1.386
4/12/2015,0.737,-1.250
4/13/2015,0.770,-0.932
4/14/2015,1.189,-0.989
4/15/2015,0.887,-1.245
4/16/2015,0.911,-1.129
4/17/2015,0.547,-1.536
4/18/2015,0.495,-1.524
4/19/2015,0.530,-1.853
4/20/2015,0.831,-1.296
4/21/2015,0.996,-1.321
4/22/2015,1.038,-1.141
4/23/2015,0.850,-1.325
